
29.03.2019 16:46:44,0.00,3.16
30.03.2019 16:46:44,0.00,3.16
31.03.2019 16:46:44,0.00,3.16
01.04.2019 16:46:44,0.00,3.16
02.04.2019 16:46:44,0.00,3.16
03.04.2019 16:46:44,0.00,3.16
04.04.2019 16:46:44,0.00,3.16
05.04.2019 16:46:44,0.00,3.16
06.04.2019 16:46:44,0.00,3.16
07.04.2019 16:46:44,0.00,3.16
08.04.2019 16:46:44,0.00,3.16
09.04.2019 16:46:44,0.00,3.16
10.04.2019 16:46:44,0.00,3.16
11.04.2019 16:46:44,0.00,3.16
12.04.2019 16:46:44,0.00,3.16
13.04.2019 16:46:44,0.00,3.16
14.04.2019 16:46:44,0.00,3.16
15.04.2019 16:46:44,0.00,3.16
16.04.2019 16:46:44,0.00,3.16
17.04.2019 16:46:44,0.00,3.16
18.04.2019 16:46:44,0.00,3.16
19.04.2019 16:46:44,0.00,3.16
20.04.2019 16:46:44,0.00,3.16
21.04.2019 16:46:44,0.00,3.16
22.04.2019 16:46:44,0.00,3.16
29.03.2019 16:46:44,0.00,3.16
